,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary
0,53809111,False,Data scientist / Product analyst,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': 250000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Нижняя Красносельская улица', 'building': '35с9', 'description': None, 'lat': 55.776137, 'lng': 37.673987, 'raw': 'Москва, Нижняя Красносельская улица, 35с9', 'metro': {'station_name': 'Бауманская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.17', 'line_id': '3', 'lat': 55.772405, 'lng': 37.67904}, 'metro_stations': [{'station_name': 'Бауманская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.17', 'line_id': '3', 'lat': 55.772405, 'lng': 37.67904}], 'id': '743543'}",,,2022-03-14T11:45:23+0300,2022-03-14T11:45:23+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=53809111,,https://api.hh.ru/vacancies/53809111?host=hh.ru,https://hh.ru/vacancy/53809111,[],"{'id': '2652595', 'name': 'Bip.ru', 'url': 'https://api.hh.ru/employers/2652595', 'alternate_url': 'https://hh.ru/employer/2652595', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3882519.png', '240': 'https://hhcdn.ru/employer-logo/3882520.png', 'original': 'https://hhcdn.ru/employer-logo-original/860411.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2652595', 'trusted': True}","{'requirement': 'Опыт работы <highlighttext>аналитиком</highlighttext>/продуктовым <highlighttext>аналитиком</highlighttext> от двух лет.  Технический вуз, сильную математическую базу.  Отличное знание SQL.  Опыт программирования на Python...', 'responsibility': 'Создание систем доступа данных, позволяющих каждому в компании иметь доступ к необходимым данным без необходимости на каждую задачу привлекать <highlighttext>аналитика</highlighttext>.  '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
1,49423067,False,Data Scientist,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 320000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-03-14T12:37:57+0300,2022-03-14T12:37:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=49423067,,https://api.hh.ru/vacancies/49423067?host=hh.ru,https://hh.ru/vacancy/49423067,[],"{'id': '2324020', 'name': 'Точка', 'url': 'https://api.hh.ru/employers/2324020', 'alternate_url': 'https://hh.ru/employer/2324020', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3414734.jpeg', '90': 'https://hhcdn.ru/employer-logo/3414733.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/743443.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2324020', 'trusted': True}","{'requirement': 'Есть опыт работы с методами машинного обучения и основными инструментами <highlighttext>data</highlighttext> science: Scikit-learn, XGBoost, CatBoost и т.п. ', 'responsibility': 'Придумывать и проверять гипотезы, которые позволят построить новые скоринговые модели и улучшить текущие. В результате они должны определять благонадёжность компаний...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
2,49598346,False,Аналитик данных / Data scientist,,False,False,"{'id': '77', 'name': 'Рязань', 'url': 'https://api.hh.ru/areas/77'}","{'from': 130000, 'to': 180000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Рязань', 'street': 'Лесопарковая улица', 'building': '18', 'description': None, 'lat': 54.637486, 'lng': 39.759461, 'raw': 'Рязань, Лесопарковая улица, 18', 'metro': None, 'metro_stations': [], 'id': '741154'}",,,2022-03-13T13:59:56+0300,2022-03-13T13:59:56+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=49598346,,https://api.hh.ru/vacancies/49598346?host=hh.ru,https://hh.ru/vacancy/49598346,[],"{'id': '1791985', 'name': 'MNOGOGAMES', 'url': 'https://api.hh.ru/employers/1791985', 'alternate_url': 'https://hh.ru/employer/1791985', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3727484.png', '90': 'https://hhcdn.ru/employer-logo/3727483.png', 'original': 'https://hhcdn.ru/employer-logo-original/821649.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1791985', 'trusted': True}","{'requirement': 'Знание математических алгоритмов ML, основных видов моделей и понимание критериев оценки их работы. Опыт разработки систем ML с использованием основных...', 'responsibility': 'Анализировать данные, искать тенденции и закономерности, выявлять ошибки и слабые места. Развивать и улучшать систему выдачи контента (на основе действий...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
3,53211742,False,Junior Data scientist/ Младший риск-аналитик,,False,True,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'улица 8 Марта', 'building': '1с12', 'description': None, 'lat': 55.800726, 'lng': 37.554933, 'raw': 'Москва, улица 8 Марта, 1с12', 'metro': {'station_name': 'Динамо', 'line_name': 'Замоскворецкая', 'station_id': '2.34', 'line_id': '2', 'lat': 55.789704, 'lng': 37.558212}, 'metro_stations': [{'station_name': 'Динамо', 'line_name': 'Замоскворецкая', 'station_id': '2.34', 'line_id': '2', 'lat': 55.789704, 'lng': 37.558212}, {'station_name': 'Петровский парк', 'line_name': 'Большая кольцевая линия', 'station_id': '97.599', 'line_id': '97', 'lat': 55.79233, 'lng': 37.55952}], 'id': '1551673'}",,,2022-03-13T11:16:44+0300,2022-03-13T11:16:44+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=53211742,,https://api.hh.ru/vacancies/53211742?host=hh.ru,https://hh.ru/vacancy/53211742,[],"{'id': '1039977', 'name': 'Pay P.S.', 'url': 'https://api.hh.ru/employers/1039977', 'alternate_url': 'https://hh.ru/employer/1039977', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/1071075.png', 'original': 'https://hhcdn.ru/employer-logo-original/89627.png', '90': 'https://hhcdn.ru/employer-logo/1071074.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1039977', 'trusted': True}","{'requirement': 'Умение работать в команде, открытость к новым идеям и технологиям, желание расти и развиваться в направлении <highlighttext>data</highlighttext> science. ', 'responsibility': 'Несколько сайтов с посещаемостью около 1 млн. посещений в месяц. Большое количество партнеров (телеком операторы, банки, интернет-магазины, онлайн кассы...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
4,53861421,True,Data - инженер,"{'id': '3529-3529-data', 'name': 'Сбер. Data Science'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-03-15T10:09:32+0300,2022-03-15T10:09:32+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=53861421,,https://api.hh.ru/vacancies/53861421?host=hh.ru,https://hh.ru/vacancy/53861421,[],"{'id': '3529', 'name': 'Сбербанк', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/868362.JPG', '90': 'https://hhcdn.ru/employer-logo/3914323.jpeg', '240': 'https://hhcdn.ru/employer-logo/3914324.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'trusted': True}","{'requirement': 'Опыт работы с большими объемами данных с использованием стека технологий Big <highlighttext>Data</highlighttext> (Hadoop, Spark, Hive/Impala) или распределенных (MPP) СУБД...', 'responsibility': '...по вопросам работы с данными. Предоставление экспертной поддержки внутренним потребителям (<highlighttext>data</highlighttext> <highlighttext>analysts</highlighttext>, <highlighttext>data</highlighttext> <highlighttext>scientists</highlighttext>) по вопросам, связанным с использованием данных.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
5,51437981,False,Data Scientist,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 250000, 'to': 350000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Новослободская улица', 'building': '73с1', 'description': None, 'lat': 55.790367, 'lng': 37.589805, 'raw': 'Москва, Новослободская улица, 73с1', 'metro': {'station_name': 'Савёловская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.128', 'line_id': '9', 'lat': 55.794054, 'lng': 37.587163}, 'metro_stations': [{'station_name': 'Савёловская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.128', 'line_id': '9', 'lat': 55.794054, 'lng': 37.587163}], 'id': '1089197'}",,,2022-03-15T10:37:02+0300,2022-03-15T10:37:02+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=51437981,,https://api.hh.ru/vacancies/51437981?host=hh.ru,https://hh.ru/vacancy/51437981,[],"{'id': '3151408', 'name': 'Ассоциация IPChain', 'url': 'https://api.hh.ru/employers/3151408', 'alternate_url': 'https://hh.ru/employer/3151408', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/644675.jpg', '90': 'https://hhcdn.ru/employer-logo/3019848.jpeg', '240': 'https://hhcdn.ru/employer-logo/3019849.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3151408', 'trusted': True}","{'requirement': 'Разбираешься в математической статистике и теории вероятностей и знаешь, как проводить A/B тестирования. Анализировать большие объёмы информации, чтобы выявить...', 'responsibility': 'Предлагать решения и стратегии для бизнес-задач. Взаимодействовать со стейкхолдерами, <highlighttext>аналитиками</highlighttext>, командой разработки. Возможность влиять на продукт: прислушиваемся к мнению...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
6,53281326,False,Аналитик данных (Data Scientist),,False,False,"{'id': '3', 'name': 'Екатеринбург', 'url': 'https://api.hh.ru/areas/3'}","{'from': 50000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-03-14T16:32:50+0300,2022-03-14T16:32:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=53281326,,https://api.hh.ru/vacancies/53281326?host=hh.ru,https://hh.ru/vacancy/53281326,[],"{'id': '3043967', 'name': 'Site&Seo', 'url': 'https://api.hh.ru/employers/3043967', 'alternate_url': 'https://hh.ru/employer/3043967', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3043967', 'trusted': True}","{'requirement': 'Уверенные знания языка Python. Опыт построения моделей машинного обучения (logistic regression, random forest, gradient boosting, neural networks). Опыт анализа ключевых...', 'responsibility': 'Разработка, настройка и улучшение предсказательных моделей по ключевым показателям. Выбор и расчет метрик качества моделей (ROC, AUC, интерпретация результатов). '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
7,53882104,False,Data Scientist,"{'id': 'mgfn-3127-engine', 'name': 'МегаФон, Инженерные'}",False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-03-15T15:13:39+0300,2022-03-15T15:13:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=53882104,,https://api.hh.ru/vacancies/53882104?host=hh.ru,https://hh.ru/vacancy/53882104,[],"{'id': '3127', 'name': 'МегаФон', 'url': 'https://api.hh.ru/employers/3127', 'alternate_url': 'https://hh.ru/employer/3127', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3747371.png', '240': 'https://hhcdn.ru/employer-logo/3747372.png', 'original': 'https://hhcdn.ru/employer-logo-original/826622.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3127', 'trusted': True}","{'requirement': 'Способен уверенно решать сложные аналитические задачи для бизнеса. Опыт работы в <highlighttext>data</highlighttext> science. Понимание алгоритмов машинного обучения, статистического анализа. ', 'responsibility': '...информации о работе сети (Technical <highlighttext>Data</highlighttext> Lake) используя передовые технологии (Big <highlighttext>Data</highlighttext>, Business Intelligence, <highlighttext>Data</highlighttext> Mining методы и т.п.). '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
8,51883505,False,Data scientist,,False,True,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-03-14T10:39:55+0300,2022-03-14T10:39:55+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=51883505,,https://api.hh.ru/vacancies/51883505?host=hh.ru,https://hh.ru/vacancy/51883505,[],"{'id': '4872201', 'name': 'ANABAR', 'url': 'https://api.hh.ru/employers/4872201', 'alternate_url': 'https://hh.ru/employer/4872201', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/912004.png', '240': 'https://hhcdn.ru/employer-logo/4088704.png', '90': 'https://hhcdn.ru/employer-logo/4088703.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4872201', 'trusted': True}","{'requirement': 'Писать продакшн-код. - Деплоить алгоритмы на прод и отвечать за их качество и скорость работы. - Отличное знание SQL. - ', 'responsibility': 'Анабар – система <highlighttext>аналитики</highlighttext> и управления продажами для продавцов на маркетплейсах. - Разбираться в бизнес-задаче и придумывать, как решать ее с...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
9,52563632,False,Senior Data Scientist,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': 300000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-03-15T18:37:28+0300,2022-03-15T18:37:28+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=52563632,,https://api.hh.ru/vacancies/52563632?host=hh.ru,https://hh.ru/vacancy/52563632,[],"{'id': '2813915', 'name': 'ПРОФИТКЛИКС', 'url': 'https://api.hh.ru/employers/2813915', 'alternate_url': 'https://hh.ru/employer/2813915', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/630059.jpg', '90': 'https://hhcdn.ru/employer-logo/2961388.jpeg', '240': 'https://hhcdn.ru/employer-logo/2961389.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2813915', 'trusted': True}","{'requirement': 'Опыт работы на позиции <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext>, <highlighttext>Data</highlighttext> engineer или <highlighttext>Data</highlighttext> <highlighttext>Analyst</highlighttext> от 3 лет в сферe adtech, CPA. ', 'responsibility': 'Мониторинг и управление системой прогноза модели EPC, доходности с клика, ML деревьев, коэффициента сайтов, CPL в СPC. Разработка и тестирование...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
